id,year,name,mean,lower,upper,Rhat,n.eff
2K,2K-2021-2022,sigma_1,3.384205452,3.009693308,3.757511593,1.000152198,25308
3K,3K-2019-2020,cp_1,268.4077434,267.0087751,269.9761054,1.042883351,1894
3K,3K-2019-2020,int_1,26.05397711,24.37019343,27.77806032,1.000208032,27008
3K,3K-2019-2020,int_2,2.010566882,-0.467684688,4.422347814,1.000296463,25377
3K,3K-2019-2020,sigma_1,12.33383116,11.35496529,13.3444228,1.000086153,27205
3K,3K-2020-2021,cp_1,115.170811,112.303491,116.9998386,1.000094223,14572
3K,3K-2020-2021,int_1,2.081970794,-0.481298587,4.634770481,1.000006304,27734
3K,3K-2020-2021,int_2,20.96767606,19.2251147,22.65653233,1.000199982,27204
3K,3K-2020-2021,sigma_1,13.85574895,12.84834525,14.85742141,0.999985899,28163
3K,3K-2021-2022,cp_1,106.5005225,106.0088719,106.9578609,1.00003031,36315
3K,3K-2021-2022,cp_2,128.5010383,128.0372758,128.9855585,0.999973365,32103
3K,3K-2021-2022,cp_3,137.5549837,137.0000602,138.1195115,1.000104077,9021
3K,3K-2021-2022,int_1,2.456080419,1.968069811,2.956706884,1.000021054,28749
3K,3K-2021-2022,int_2,29.8221304,28.70940809,30.8861481,1.000004448,28777
3K,3K-2021-2022,int_3,1.496981088,-0.390511766,3.498905965,1.000056059,11484
3K,3K-2021-2022,int_4,36.82565836,35.31114856,38.42487318,1.000092978,13620
3K,3K-2021-2022,sigma_1,2.615966136,2.311009279,2.913287932,0.999997496,25669
4K,4K-2019-2020,cp_1,122.5006331,122.0157598,122.9640524,1.000030806,33962
4K,4K-2019-2020,cp_2,125.5012535,125.0229632,125.9707603,1.00001193,33261
4K,4K-2019-2020,cp_3,126.5007515,126.0495984,126.9975728,1.000059985,32472
4K,4K-2019-2020,cp_4,147.4990912,147.0024229,147.9502897,0.999978091,31944
4K,4K-2019-2020,cp_5,150.4986824,150.0008902,150.950748,1.000059244,32503
4K,4K-2019-2020,cp_6,268.5004521,268.0485961,268.9989907,1.000065523,31838
4K,4K-2019-2020,int_1,1.808882773,0.58584851,3.006270312,1.000232272,28509
4K,4K-2019-2020,int_2,35.54156638,29.96048367,41.18382639,1.000142678,28786
4K,4K-2019-2020,int_3,86.27063382,76.95339634,95.98356562,1.00002255,28015
4K,4K-2019-2020,int_4,122.2013541,120.0709611,124.3355787,1.000060865,27893
4K,4K-2019-2020,int_5,3.62095544,-1.90515446,9.347998072,1.000080183,28482
4K,4K-2019-2020,int_6,129.8016888,128.8531533,130.6831238,0.999965267,27901
4K,4K-2019-2020,int_7,1.561625679,0.564865944,2.52461785,1.000630458,28168
4K,4K-2019-2020,sigma_1,4.937248535,4.556079482,5.34544039,1.000218666,27022
4K,4K-2020-2021,cp_1,169.9091218,169.0008417,170.9508781,1.000070316,20898
4K,4K-2020-2021,cp_2,177.504352,177.0529508,177.999833,1.000124656,32698
4K,4K-2020-2021,cp_3,258.4990954,258.0515119,258.9998895,1.000000544,32561
4K,4K-2020-2021,int_1,0.958717379,-0.086077691,1.974274467,1.000345503,29065
4K,4K-2020-2021,int_2,20.14647777,15.05442856,25.39775897,1.00004551,23916
4K,4K-2020-2021,int_3,129.1624302,127.6619375,130.7111002,1.000043073,27458
4K,4K-2020-2021,int_4,1.111558724,-0.180650723,2.450849031,1.000042626,26686
4K,4K-2020-2021,sigma_1,6.929451536,6.426398039,7.446919676,1.000063684,27873
4K,4K-2021-2022,cp_1,151.5007439,151.0282581,151.9778967,1.000035417,35353
4K,4K-2021-2022,cp_2,152.4987225,152.0055305,152.9528004,1.000159518,34036
4K,4K-2021-2022,cp_3,254.4986289,254.036613,254.9848599,0.999981993,32243
4K,4K-2021-2022,cp_4,261.4956667,261.0007045,261.9496716,1.000033627,33032
4K,4K-2021-2022,int_1,0.963586123,0.654921865,1.276098661,1.000061912,30611
4K,4K-2021-2022,int_2,77.81293674,74.03267779,81.64188382,1.000104098,30322
4K,4K-2021-2022,int_3,131.6902713,131.3021065,132.0766292,0.99996806,32059
4K,4K-2021-2022,int_4,111.7987887,110.4160033,113.3078653,1.000198056,28885
4K,4K-2021-2022,int_5,1.212723577,0.468172673,1.922333716,1.000024212,28870
4K,4K-2021-2022,sigma_1,1.938039755,1.782978175,2.105823072,0.999971191,27925
6K,6K-2019-2020,cp_1,129.4998505,129.0317423,129.9813479,0.999968485,33203
6K,6K-2019-2020,cp_2,198.3878929,197.2194158,199.0001067,1.000816852,13255
6K,6K-2019-2020,cp_3,224.4988213,224.0482907,224.9985795,1.000170111,31488
6K,6K-2019-2020,int_1,2.057305745,1.182157669,2.908614989,1.0002997,28669
6K,6K-2019-2020,int_2,122.2419933,121.378157,123.1349251,0.999982736,28999
6K,6K-2019-2020,int_3,131.5917053,130.1207205,132.992469,1.000458888,26151
6K,6K-2019-2020,int_4,5.526541481,4.866264112,6.223432937,1.000256639,27051
6K,6K-2019-2020,sigma_1,3.704148454,3.397152269,4.022008301,1.000132853,26142
6K,6K-2020-2021,cp_1,103.679013,96.49008119,115.9696692,1.000003947,10398
6K,6K-2020-2021,cp_2,164.5021628,164.0040753,164.9505639,1.000045398,32715
6K,6K-2020-2021,cp_3,165.5013239,165.0137458,165.9626541,0.999971225,32219
6K,6K-2020-2021,cp_4,216.4998173,216.0012022,216.9499282,1.000033518,32838
6K,6K-2020-2021,int_1,2.375279177,1.52818531,3.236588519,1.000067222,21424
6K,6K-2020-2021,int_2,7.41178173,6.290591534,8.541765444,1.000131514,21962
6K,6K-2020-2021,int_3,64.2772331,55.71042057,72.54406089,1.000063284,26442
6K,6K-2020-2021,int_4,126.1640438,124.9225661,127.3196555,1.000055759,28284
6K,6K-2020-2021,int_5,4.804552371,4.117800762,5.479949978,1.000069886,28224
6K,6K-2020-2021,sigma_1,4.271667006,3.965311313,4.59242097,1.000256803,26235
6K,6K-2021-2022,cp_1,86.71437659,84.09200415,88.02611473,1.001075106,18312
6K,6K-2021-2022,cp_2,152.4994322,152.0470717,152.9951948,0.999965769,33005
6K,6K-2021-2022,cp_3,153.4996707,153.0275566,153.9764077,1.000050941,33920
6K,6K-2021-2022,cp_4,203.4949857,203.0003634,203.9475779,1.000012559,31688
